14	20
15	8
12	18
16	12
16	28
20	13
4	26
17	3
13	22
6	8
17	12
17	15
5	28
9	23
2	28
11	21
6	28
7	25
11	23
21	1
3	27
18	1
7	27
20	5
13	21
6	26
18	6
7	28
13	23
17	6
0	27
15	8
15	9
9	23
7	25
9	22
12	21
7	27
21	6
5	25
5	29
8	30
1	27
19	9
15	4
3	30
19	1
7	27
12	19
2	26
8	27
10	16
6	29
19	2
13	23
13	23
12	18
8	28
4	29
4	27
4	28
8	29
3	27
12	23
21	0
5	25
18	14
11	21
11	23
1	26
5	30
21	15
2	26
0	30
21	7
17	5
20	5
1	29
13	17
18	13
4	26
9	21
17	15
0	26
13	15
10	24
9	22
17	3
11	18
17	12
9	19
16	11
20	1
9	23
8	0
19	7
15	14
17	7
6	27
9	23
13	3
20	3
11	17
12	15
3	29
8	26
19	11
3	28
16	9
15	6
1	29
17	4
5	27
9	24
3	2
17	12
13	21
19	7
18	8
9	23
6	28
18	0
7	29
9	20
13	20
19	16
13	15
6	26
14	3
14	19
5	27
12	16
20	13
14	16
11	21
7	24
6	25
19	13
8	28
10	25
1	5
13	27
11	17
2	29
6	3
2	27
9	17
18	3
9	21
18	14
8	29
9	19
14	22
16	15
18	1
10	25
6	30
12	15
2	30
1	30
13	22
15	15
15	12
11	15
5	30
15	4
10	15
2	30
11	20
9	15
4	25
17	9
13	15
6	29
5	26
15	0
17	15
21	5
4	25
7	25
4	29
20	6
9	22
6	28
11	4
20	13
10	20
3	29
11	16
18	7
6	11
10	21
14	23
11	20
6	17
16	4
17	12
6	28
13	21
2	23
21	13
16	9
16	9
10	24
21	7
20	5
15	7
19	10
17	13
7	13
12	15
16	11
1	26
13	24
8	29
19	6
11	19
9	24
5	26
13	6
19	24
10	23
11	24
19	3
1	30
13	24
4	8
12	19
9	17
9	22
3	26
4	30
3	30
13	20
15	9
16	13
21	2
13	25
11	21
6	26
9	22
12	22
12	16
14	21
6	26
7	27
6	30
21	7
16	10
7	27
16	6
13	18
5	25
13	20
5	30
11	20
7	28
1	30
11	20
5	20
8	26
12	19
8	30
14	24
9	17
12	18
10	25
16	11
1	29
8	28
9	25
7	30
19	2
21	4
7	29
7	21
16	15
15	8
14	11
13	16
19	13
5	27
18	7
20	9
13	1
1	27
1	8
7	30
15	8
16	9
9	30
1	29
0	26
21	18
16	5
12	22
4	9
11	24
9	17
10	21
2	28
13	23
2	23
18	7
4	26
1	21
2	28
10	23
20	0
10	21
7	30
10	17
12	16
14	22
0	28
7	26
18	7
8	28
3	26
14	18
2	2
6	28
19	11
20	6
1	16
10	20
3	30
3	28
21	15
12	19
11	16
3	29
2	25
2	28
12	17
2	26
12	15
3	0
8	30
17	7
21	3
10	19
18	2
21	4
21	15
21	8
15	8
21	0
15	7
18	15
14	23
11	16
11	15
19	1
19	14
19	14
7	26
10	17
6	29
6	29
17	29
12	19
9	15
8	28
13	15
2	25
17	29
8	29
5	30
2	30
2	27
21	4
2	9
13	19
20	3
17	0
14	20
4	28
17	13
2	23
9	20
5	25
18	1
10	18
21	27
19	7
14	21
10	23
16	11
0	25
14	23
21	0
12	16
6	26
18	1
5	25
10	11
0	26
19	8
15	8
21	11
19	1
7	30
16	9
12	7
16	7
17	11
3	25
12	3
14	18
13	20
2	11
13	19
11	15
10	25
20	11
3	0
15	0
0	30
4	26
1	28
1	27
18	7
16	1
11	21
7	26
18	14
9	20
1	28
16	11
8	4
9	22
8	29
3	27
3	29
12	16
3	28
21	3
4	21
7	26
7	25
3	4
3	28
15	13
11	15
21	11
16	15
18	9
21	13
20	28
15	14
7	30
18	4
17	9
1	19
12	10
3	29
5	2
14	17
13	2
18	0
15	12
11	23
14	18
15	13
3	26
18	6
19	9
17	23
18	7
16	11
12	23
8	29
3	25
6	19
2	18
20	9
17	12
13	16
1	29
21	4
11	16
16	7
15	6
20	8
18	10
2	26
16	1
6	18
14	17
15	11
19	5
13	17
13	14
4	2
13	19
13	14
0	27
14	19
15	13
3	27
19	11
6	29
5	2
16	12
2	27
13	18
9	17
18	6
11	6
1	25
18	16
5	26
20	15
13	22
12	23
8	30
0	28
20	6
10	16
19	23
12	17
13	23
15	12
10	18
13	15
7	29
16	15
11	18
4	28
6	28
11	22
9	17
7	25
10	20
17	11
11	21
19	14
18	11
21	2
19	14
6	30
16	4
6	27
7	27
17	23
12	21
5	30
11	20
11	15
8	29
12	17
7	26
10	24
14	30
4	28
8	26
15	11
16	13
0	30
9	18
14	16
16	10
19	14
9	19
10	24
2	25
17	3
8	30
13	25
13	22
5	8
19	0
5	25
18	26
10	20
6	29
7	11
13	23
4	28
20	14
0	25
7	25
1	24
0	25
12	24
7	29
20	1
1	26
5	1
14	15
19	2
5	15
19	15
11	18
9	22
19	6
4	11
11	18
7	25
5	25
20	5
21	7
13	17
0	27
2	29
19	27
2	15
12	22
2	27
9	16
9	25
13	22
1	29
1	30
11	25
20	15
11	19
9	23
14	19
13	17
4	29
11	24
12	17
2	30
13	15
10	22
10	22
0	26
10	25
3	28
19	13
4	30
15	6
11	5
20	2
10	24
6	29
0	26
10	21
5	30
21	7
17	10
5	30
18	10
9	16
2	27
3	26
6	16
9	29
7	25
6	30
8	25
8	28
1	27
13	17
21	8
2	25
9	16
11	23
10	20
21	11
17	13
0	25
6	26
10	15
10	18
7	25
12	17
1	11
10	18
8	26
7	26
14	24
14	17
2	6
9	21
21	11
1	20
11	23
15	0
7	26
14	15
7	25
11	15
4	27
16	9
21	8
3	26
16	11
0	27
12	1
6	21
7	27
8	25
0	25
13	21
1	30
18	8
15	13
19	1
2	29
7	27
10	21
8	30
7	27
18	7
1	27
21	7
20	11
7	2
15	1
9	25
19	15
17	0
1	2
19	0
21	0
12	24
13	19
16	9
20	3
17	14
1	29
12	17
13	15
15	6
19	8
18	8
3	28
4	26
3	30
18	13
9	15
14	20
0	27
18	9
15	0
21	6
10	19
14	22
6	29
12	28
21	20
3	30
3	21
12	16
21	12
10	17
6	27
16	15
6	5
18	24
2	27
21	3
19	14
12	25
17	6
3	25
10	20
5	29
11	17
20	0
13	18
13	25
9	17
2	25
21	4
0	27
20	6
8	28
14	25
1	25
18	1
0	28
14	30
3	25
16	10
15	8
2	10
19	3
2	25
14	17
2	30
7	15
21	3
13	24
8	26
10	24
15	1
19	13
19	14
17	2
9	21
18	8
13	17
8	30
19	6
10	16
19	1
19	12
13	6
4	30
11	21
20	10
21	13
16	1
3	28
18	10
18	12
12	24
10	24
9	16
5	25
11	23
8	6
17	28
8	28
13	16
16	8
13	16
21	28
12	19
14	25
14	21
6	20
18	5
14	18
12	25
5	27
3	28
13	24
15	12
6	26
18	10
11	22
21	4
12	21
8	30
10	21
9	22
20	3
11	16
1	25
15	10
17	2
8	30
20	4
8	7
5	26
14	16
10	20
18	0
21	19
4	27
12	16
14	21
7	13
19	25
18	28
10	15
11	22
15	7
5	27
14	16
2	30
3	9
14	23
1	26
12	22
10	20
14	19
12	17
7	26
3	25
12	17
13	17
0	27
9	17
3	26
9	24
14	23
8	29
0	28
15	30
16	13
3	30
8	4
14	25
16	14
18	15
15	6
21	9
13	23
16	4
17	5
14	16
15	6
20	11
8	30
1	26
6	25
21	10
1	25
15	11
8	29
10	21
4	27
18	7
18	8
6	25
1	28
3	27
14	25
9	21
18	12
8	28
3	9
13	16
7	22
12	25
14	23
17	2
0	27
18	13
12	19
13	21
11	20
15	3
9	20
2	25
19	13
19	9
17	12
10	25
6	27
4	25
20	0
9	23
21	11
11	20
2	27
10	23
15	3
17	15
19	13
12	0
17	1
20	6
20	10
10	24
18	11
19	13
18	6
1	27
10	25
21	12
15	6
3	27
6	29
21	5
18	14
6	30
17	9
4	28
9	24
16	14
10	20
4	29
11	20
